gene,systems
Rock1,adipose tissue|behavior/neurological|cardiovascular system|cellular|growth/size/body region|hematopoietic system|homeostasis/metabolism|immune system|integument|muscle|nervous system|renal/urinary system|respiratory system|vision/eye
Rock2,cardiovascular system|cellular|embryo|growth/size/body region|homeostasis/metabolism|immune system|muscle|nervous system|vision/eye
Rogdi,behavior/neurological|craniofacial|digestive/alimentary|growth/size/body region|homeostasis/metabolism|nervous system|respiratory system|skeleton
Rom1,cardiovascular system|nervous system|vision/eye
Romo1,behavior/neurological|cardiovascular system|embryo|growth/size/body region|homeostasis/metabolism
Ropn1,cellular|reproductive system
Ropn1l,behavior/neurological|cellular|craniofacial|growth/size/body region|reproductive system|respiratory system|skeleton
Ror1,cardiovascular system|cellular|craniofacial|embryo|endocrine/exocrine gland|growth/size/body region|hearing/vestibular/ear|hematopoietic system|homeostasis/metabolism|immune system|limbs/digits/tail|nervous system|renal/urinary system|reproductive system|respiratory system|skeleton
Ror2,adipose tissue|cardiovascular system|cellular|craniofacial|digestive/alimentary|embryo|endocrine/exocrine gland|growth/size/body region|hearing/vestibular/ear|homeostasis/metabolism|limbs/digits/tail|nervous system|reproductive system|respiratory system|skeleton|vision/eye
Rora,behavior/neurological|cardiovascular system|cellular|endocrine/exocrine gland|growth/size/body region|hematopoietic system|homeostasis/metabolism|immune system|integument|muscle|nervous system|reproductive system|respiratory system|taste/olfaction
Rorb,behavior/neurological|growth/size/body region|nervous system|normal|reproductive system|vision/eye
Rorc,cellular|digestive/alimentary|endocrine/exocrine gland|growth/size/body region|hematopoietic system|homeostasis/metabolism|immune system
Ros1,cellular|reproductive system
Rosq1,hematopoietic system|immune system
Rp1,cardiovascular system|nervous system|vision/eye
Rp1l1,nervous system|vision/eye
Rp2,nervous system|vision/eye
Rp9,growth/size/body region|homeostasis/metabolism|nervous system|reproductive system
Rpa1,cardiovascular system|cellular|growth/size/body region|hematopoietic system|homeostasis/metabolism|immune system|neoplasm
Rpain,cardiovascular system|embryo|vision/eye
Rpap3,cellular|digestive/alimentary|endocrine/exocrine gland|growth/size/body region|hematopoietic system|homeostasis/metabolism|immune system|normal|reproductive system
Rpe,behavior/neurological|cardiovascular system|endocrine/exocrine gland|growth/size/body region|hematopoietic system|immune system|integument|liver/biliary system|renal/urinary system|reproductive system
Rpe65,behavior/neurological|hematopoietic system|homeostasis/metabolism|immune system|nervous system|pigmentation|vision/eye
Rpgr,cardiovascular system|muscle|nervous system|pigmentation|vision/eye
Rpgrip1,nervous system|vision/eye
Rpgrip1l,cardiovascular system|craniofacial|digestive/alimentary|embryo|endocrine/exocrine gland|growth/size/body region|hearing/vestibular/ear|hematopoietic system|homeostasis/metabolism|immune system|integument|limbs/digits/tail|liver/biliary system|muscle|nervous system|renal/urinary system|reproductive system|respiratory system|skeleton|vision/eye
Rph3a,behavior/neurological|homeostasis/metabolism|limbs/digits/tail|nervous system|normal|vision/eye
Rph3al,digestive/alimentary|endocrine/exocrine gland|homeostasis/metabolism
Rpia,homeostasis/metabolism
Rpl10a,cardiovascular system|cellular|embryo|homeostasis/metabolism|limbs/digits/tail|nervous system|respiratory system|skeleton
Rpl10l,cellular|endocrine/exocrine gland|reproductive system
Rpl11,digestive/alimentary|hematopoietic system|homeostasis/metabolism|liver/biliary system|neoplasm
Rpl12,cardiovascular system|endocrine/exocrine gland|growth/size/body region|hematopoietic system|immune system|integument|liver/biliary system|renal/urinary system|reproductive system|vision/eye
Rpl13a,behavior/neurological|cellular|endocrine/exocrine gland|hematopoietic system|homeostasis/metabolism|immune system|respiratory system
Rpl22,cellular|endocrine/exocrine gland|hematopoietic system|immune system|normal|renal/urinary system
Rpl22l1,embryo
Rpl24,behavior/neurological|cardiovascular system|cellular|embryo|growth/size/body region|integument|limbs/digits/tail|nervous system|pigmentation|skeleton|vision/eye
Rpl27a,behavior/neurological|cellular|craniofacial|endocrine/exocrine gland|growth/size/body region|hearing/vestibular/ear|hematopoietic system|immune system|integument|limbs/digits/tail|neoplasm|nervous system|normal|pigmentation
Rpl29,cellular|embryo|growth/size/body region|reproductive system|skeleton
Rpl3,
Rpl31,endocrine/exocrine gland|limbs/digits/tail|nervous system|reproductive system
Rpl32,hematopoietic system
Rpl38,cardiovascular system|cellular|craniofacial|digestive/alimentary|embryo|growth/size/body region|hearing/vestibular/ear|hematopoietic system|homeostasis/metabolism|immune system|integument|limbs/digits/tail|nervous system|pigmentation|reproductive system|respiratory system|skeleton
Rpl39l,cellular|endocrine/exocrine gland|reproductive system
Rpl3l,cardiovascular system|muscle
Rpl5,cardiovascular system|craniofacial|embryo|growth/size/body region|hematopoietic system|integument|limbs/digits/tail|liver/biliary system|skeleton
Rpl7l1,integument|vision/eye
Rplag,hematopoietic system|homeostasis/metabolism
Rplp1,adipose tissue|digestive/alimentary|endocrine/exocrine gland|growth/size/body region|hematopoietic system|immune system|integument|limbs/digits/tail|liver/biliary system|reproductive system
Rpn2,homeostasis/metabolism
Rprd1b,cellular|digestive/alimentary|endocrine/exocrine gland|growth/size/body region|hematopoietic system|homeostasis/metabolism
Rprd2,behavior/neurological|cardiovascular system|craniofacial|embryo|growth/size/body region|integument|nervous system|pigmentation
Rps12,cellular|embryo|growth/size/body region|hematopoietic system|immune system|integument|limbs/digits/tail|nervous system|pigmentation
Rps14,cellular|growth/size/body region|hematopoietic system|homeostasis/metabolism|immune system|skeleton
Rps18,normal
Rps19,cellular|craniofacial|embryo|growth/size/body region|hearing/vestibular/ear|hematopoietic system|integument|limbs/digits/tail|nervous system|pigmentation
Rps19bp1,hematopoietic system|immune system|integument
Rps2,adipose tissue|behavior/neurological|cellular|growth/size/body region|homeostasis/metabolism
Rps20,behavior/neurological|craniofacial|embryo|growth/size/body region|hearing/vestibular/ear|integument|limbs/digits/tail|nervous system|pigmentation
Rps21,growth/size/body region|integument|limbs/digits/tail|pigmentation|reproductive system
Rps23rg1,behavior/neurological|nervous system
Rps24,
Rps26,behavior/neurological|cellular|endocrine/exocrine gland|hearing/vestibular/ear|reproductive system
Rps27,embryo|growth/size/body region|normal
Rps27l,cellular|endocrine/exocrine gland|growth/size/body region|hematopoietic system|immune system|liver/biliary system|neoplasm|normal
Rps28,normal
Rps6,cellular|craniofacial|endocrine/exocrine gland|growth/size/body region|hearing/vestibular/ear|homeostasis/metabolism|integument|limbs/digits/tail|liver/biliary system|pigmentation
Rps6ka1,behavior/neurological|vision/eye
Rps6ka2,cardiovascular system|homeostasis/metabolism|muscle
Rps6ka3,adipose tissue|behavior/neurological|cellular|craniofacial|growth/size/body region|homeostasis/metabolism|integument|muscle|neoplasm|nervous system|reproductive system|skeleton
Rps6ka4,cellular|hematopoietic system|homeostasis/metabolism|immune system|integument
Rps6ka5,behavior/neurological|cellular|hematopoietic system|homeostasis/metabolism|immune system|integument|nervous system
Rps6ka6,cardiovascular system|embryo|growth/size/body region
Rps6kb1,adipose tissue|cardiovascular system|cellular|embryo|endocrine/exocrine gland|growth/size/body region|hematopoietic system|homeostasis/metabolism|immune system|limbs/digits/tail|muscle|neoplasm|reproductive system
Rps6kb2,cardiovascular system|cellular|endocrine/exocrine gland|growth/size/body region|homeostasis/metabolism|muscle|neoplasm|normal|reproductive system
Rps6kc1,growth/size/body region|homeostasis/metabolism|nervous system|vision/eye
Rps6kl1,homeostasis/metabolism
Rps7,behavior/neurological|cellular|embryo|growth/size/body region|hematopoietic system|integument|limbs/digits/tail|nervous system|pigmentation|skeleton|vision/eye
Rps9,adipose tissue|behavior/neurological|cellular|growth/size/body region|hematopoietic system|homeostasis/metabolism|immune system|integument|renal/urinary system|skeleton|vision/eye
Rpsa,cardiovascular system|craniofacial|endocrine/exocrine gland|growth/size/body region|hematopoietic system
Rptor,adipose tissue|behavior/neurological|cardiovascular system|cellular|digestive/alimentary|embryo|endocrine/exocrine gland|growth/size/body region|hematopoietic system|homeostasis/metabolism|immune system|liver/biliary system|muscle|reproductive system|skeleton
Rpusd2,growth/size/body region|hematopoietic system|immune system|vision/eye
Rpusd3,skeleton
Rr1,normal
Rr100,hematopoietic system|immune system|normal
Rr103,nervous system
Rr104,cardiovascular system|growth/size/body region|hematopoietic system|immune system|integument|limbs/digits/tail|liver/biliary system|normal|skeleton
Rr105,normal
Rr112,hematopoietic system|immune system
Rr115,craniofacial|endocrine/exocrine gland|growth/size/body region|nervous system|respiratory system|skeleton
Rr117,growth/size/body region
Rr123,hematopoietic system|immune system
Rr124128,growth/size/body region|homeostasis/metabolism
Rr128,growth/size/body region
Rr13,taste/olfaction
Rr133,behavior/neurological|cardiovascular system|craniofacial|digestive/alimentary|embryo|growth/size/body region|hearing/vestibular/ear|muscle|skeleton
Rr1367,craniofacial|growth/size/body region|skeleton
Rr14,homeostasis/metabolism
Rr142,behavior/neurological|growth/size/body region|skeleton
Rr143,cardiovascular system|growth/size/body region|homeostasis/metabolism|liver/biliary system|muscle|renal/urinary system
Rr148,digestive/alimentary|hematopoietic system|immune system
Rr149356,endocrine/exocrine gland|hematopoietic system|immune system|neoplasm
Rr152,hematopoietic system|immune system
Rr155,hematopoietic system|immune system
Rr156,hematopoietic system|immune system
Rr158,cellular|hematopoietic system|immune system
Rr158-H2-Ea,endocrine/exocrine gland|hematopoietic system|immune system
Rr159,hematopoietic system|immune system
Rr16,craniofacial|digestive/alimentary|growth/size/body region|vision/eye
Rr160,hematopoietic system|immune system
Rr161,cellular|hematopoietic system|immune system
Rr162,hematopoietic system|immune system
Rr163,immune system
Rr166,hematopoietic system|immune system
Rr169,hematopoietic system|immune system
Rr17,immune system
Rr170,cellular|hematopoietic system|immune system
Rr172,hematopoietic system|immune system
Rr175,
Rr177,hematopoietic system
Rr19,nervous system
Rr198,cellular
Rr199,cellular
Rr2,homeostasis/metabolism|renal/urinary system
Rr20,skeleton
Rr200,cellular
Rr21,digestive/alimentary|normal
Rr229173,behavior/neurological
Rr23,craniofacial|digestive/alimentary|growth/size/body region|skeleton
Rr24,craniofacial|skeleton
Rr249,cardiovascular system|hematopoietic system|homeostasis/metabolism|liver/biliary system
Rr25,craniofacial|growth/size/body region|skeleton
Rr250,hematopoietic system|homeostasis/metabolism|liver/biliary system
Rr250409,hematopoietic system|immune system
Rr251,normal
Rr253,hematopoietic system|immune system
Rr26,limbs/digits/tail
Rr265,embryo|integument|limbs/digits/tail|skeleton
Rr266,endocrine/exocrine gland|growth/size/body region|homeostasis/metabolism
Rr268,endocrine/exocrine gland|growth/size/body region|homeostasis/metabolism
Rr27,cellular|craniofacial|digestive/alimentary|embryo|endocrine/exocrine gland|growth/size/body region|limbs/digits/tail|neoplasm|normal|reproductive system
Rr270,embryo|immune system
Rr271,digestive/alimentary|embryo|growth/size/body region
Rr272,cellular|nervous system|vision/eye
Rr273,cellular|pigmentation|vision/eye
Rr274,vision/eye
Rr275,vision/eye
Rr275254,hematopoietic system|immune system
Rr276,nervous system|vision/eye
Rr277,cardiovascular system|muscle
Rr278,cardiovascular system|muscle
Rr28,cardiovascular system|cellular|craniofacial|digestive/alimentary|embryo|endocrine/exocrine gland|growth/size/body region|homeostasis/metabolism|limbs/digits/tail|liver/biliary system|muscle|neoplasm|renal/urinary system|skeleton|vision/eye
Rr282726,hematopoietic system|immune system
Rr282729,hematopoietic system|immune system
Rr284,limbs/digits/tail
Rr287,limbs/digits/tail
Rr29,craniofacial|digestive/alimentary|embryo|growth/size/body region|homeostasis/metabolism|limbs/digits/tail|skeleton
Rr291,behavior/neurological|embryo|nervous system|reproductive system
Rr293,behavior/neurological|embryo|reproductive system
Rr295,behavior/neurological
Rr296,behavior/neurological
Rr299391,endocrine/exocrine gland|hematopoietic system|immune system
Rr3,normal
Rr303,cardiovascular system|muscle
Rr305,nervous system|taste/olfaction
Rr307328,hematopoietic system|immune system
Rr308,hematopoietic system|immune system
Rr314,cardiovascular system
Rr32,immune system
Rr320,cardiovascular system|embryo|growth/size/body region|hematopoietic system|integument|liver/biliary system|normal
Rr327,endocrine/exocrine gland|homeostasis/metabolism
Rr331,hematopoietic system|immune system
Rr338,hematopoietic system|immune system
Rr34,cardiovascular system|growth/size/body region|muscle
Rr344,digestive/alimentary|endocrine/exocrine gland|growth/size/body region|homeostasis/metabolism
Rr347,cardiovascular system|cellular|growth/size/body region|hematopoietic system|immune system|nervous system|renal/urinary system
Rr348,cardiovascular system|embryo|growth/size/body region|hematopoietic system|homeostasis/metabolism|integument
Rr349,cardiovascular system|embryo|growth/size/body region|hematopoietic system|homeostasis/metabolism|integument|liver/biliary system
Rr35,cardiovascular system|muscle
Rr36,normal
Rr364,hematopoietic system|immune system
Rr364729,behavior/neurological
Rr38,endocrine/exocrine gland|hematopoietic system|immune system
Rr381,hematopoietic system|immune system
Rr383,hematopoietic system|immune system|normal|skeleton
Rr386,hematopoietic system|immune system
Rr387,behavior/neurological|hearing/vestibular/ear|nervous system
Rr388,embryo|hearing/vestibular/ear|nervous system
Rr39,hematopoietic system|immune system|neoplasm
Rr394,endocrine/exocrine gland|hematopoietic system|immune system
Rr395,cellular|endocrine/exocrine gland|hematopoietic system|immune system
Rr397,embryo|hearing/vestibular/ear|nervous system
Rr4,normal
Rr400,embryo|growth/size/body region|nervous system
Rr401,cellular|endocrine/exocrine gland|homeostasis/metabolism|renal/urinary system|reproductive system
Rr420,neoplasm|skeleton
Rr45,behavior/neurological|craniofacial|digestive/alimentary|growth/size/body region|respiratory system|skeleton
Rr468,vision/eye
Rr49,
Rr51,respiratory system
Rr510,behavior/neurological|skeleton
Rr53,
Rr54,
Rr55,
Rr609,adipose tissue|behavior/neurological|endocrine/exocrine gland|growth/size/body region|homeostasis/metabolism|integument|limbs/digits/tail|liver/biliary system|renal/urinary system|skeleton
Rr695562,normal
Rr7,hematopoietic system|immune system
Rr70,cellular
Rr76,normal
Rr79,hematopoietic system|immune system
Rr80,craniofacial|growth/size/body region|skeleton
Rr82,craniofacial|growth/size/body region|nervous system|respiratory system|taste/olfaction
Rr83,craniofacial|growth/size/body region|nervous system|respiratory system|taste/olfaction
Rr86,craniofacial|growth/size/body region|nervous system|respiratory system|taste/olfaction
Rr87,craniofacial|growth/size/body region|nervous system|respiratory system|taste/olfaction
Rr9,immune system
Rr94,cellular|hematopoietic system|immune system
Rr96,hematopoietic system|immune system|normal
Rr97,hematopoietic system|immune system
Rr98,normal
Rr99,hematopoietic system|immune system
Rrad,cardiovascular system|growth/size/body region|hematopoietic system|homeostasis/metabolism|muscle
Rraga,cellular|digestive/alimentary|embryo|growth/size/body region|hematopoietic system|homeostasis/metabolism|immune system|neoplasm|nervous system
Rragb,normal
Rragc,cellular|hematopoietic system|immune system|liver/biliary system|neoplasm
Rras,cardiovascular system|hematopoietic system|homeostasis/metabolism|immune system|neoplasm
Rras2,adipose tissue|cardiovascular system|cellular|endocrine/exocrine gland|growth/size/body region|hematopoietic system|immune system|renal/urinary system|reproductive system|vision/eye
Rrbp1,adipose tissue|growth/size/body region|hearing/vestibular/ear|hematopoietic system|homeostasis/metabolism|skeleton|vision/eye
Rreb1,adipose tissue|behavior/neurological|cardiovascular system|cellular|craniofacial|digestive/alimentary|growth/size/body region|hematopoietic system|homeostasis/metabolism|immune system|muscle|nervous system|vision/eye
Rrh,vision/eye
Rrm1,
Rrm2,homeostasis/metabolism
Rrm2b,adipose tissue|cardiovascular system|cellular|digestive/alimentary|endocrine/exocrine gland|growth/size/body region|hematopoietic system|homeostasis/metabolism|immune system|liver/biliary system|muscle|nervous system|renal/urinary system|skeleton
Rrn3,behavior/neurological|cellular|embryo|growth/size/body region|homeostasis/metabolism|nervous system
Rrodp1,behavior/neurological
Rrodp2,behavior/neurological
Rrp1,homeostasis/metabolism
Rrp1b,vision/eye
Rrp8,behavior/neurological|embryo|growth/size/body region|homeostasis/metabolism
Rrs1,behavior/neurological
Rrsv,neoplasm
Rs1,cellular|nervous system|pigmentation|vision/eye
Rsad1,endocrine/exocrine gland|hematopoietic system|homeostasis/metabolism|immune system|reproductive system
Rsad2,behavior/neurological|cardiovascular system|hematopoietic system|homeostasis/metabolism|immune system
Rsbn1,adipose tissue|behavior/neurological|endocrine/exocrine gland|growth/size/body region|homeostasis/metabolism|reproductive system|skeleton
Rsc1a1,adipose tissue|behavior/neurological|digestive/alimentary|growth/size/body region|homeostasis/metabolism
Rsf1,cellular|embryo|growth/size/body region|homeostasis/metabolism|nervous system|skeleton
Rsph1,cellular|growth/size/body region|reproductive system
Rsph3b,
Rsph6a,cellular|reproductive system
Rsph9,behavior/neurological|cardiovascular system|cellular|craniofacial|growth/size/body region|hematopoietic system|immune system|muscle|nervous system|respiratory system|skeleton
Rspo1,adipose tissue|cellular|endocrine/exocrine gland|growth/size/body region|hematopoietic system|homeostasis/metabolism|immune system|integument|nervous system|renal/urinary system|reproductive system|skeleton|vision/eye
Rspo2,behavior/neurological|cardiovascular system|craniofacial|digestive/alimentary|embryo|endocrine/exocrine gland|growth/size/body region|hearing/vestibular/ear|homeostasis/metabolism|integument|limbs/digits/tail|renal/urinary system|reproductive system|respiratory system|skeleton
Rspo3,behavior/neurological|cardiovascular system|embryo|growth/size/body region|homeostasis/metabolism|limbs/digits/tail|muscle|normal|respiratory system|skeleton
Rspo4,homeostasis/metabolism
Rsrc2,
Rsu1,adipose tissue|embryo|growth/size/body region|integument
Rsxr,reproductive system
Rtbdn,hematopoietic system|homeostasis/metabolism|integument|nervous system|vision/eye
Rtca,nervous system
Rtcb,endocrine/exocrine gland|hematopoietic system|immune system|reproductive system
Rtel1,cardiovascular system|cellular|embryo|growth/size/body region|homeostasis/metabolism|muscle|neoplasm|nervous system|normal
Rtf1,cardiovascular system|muscle
Rthyd1,hematopoietic system|immune system
Rthyd2,hematopoietic system|immune system
Rthyd3,hematopoietic system|immune system
Rthyd5,hematopoietic system|immune system
Rtl1,cellular|embryo|growth/size/body region
Rtl10,behavior/neurological|integument|pigmentation
Rtl3,behavior/neurological
Rtl4,behavior/neurological|homeostasis/metabolism
Rtl5,behavior/neurological|cardiovascular system|growth/size/body region|immune system|renal/urinary system|vision/eye
Rtl6,immune system
Rtl9,immune system
Rtn1,normal
Rtn2,cellular|homeostasis/metabolism|muscle
Rtn3,cellular|homeostasis/metabolism|nervous system|renal/urinary system
Rtn4,behavior/neurological|cellular|hearing/vestibular/ear|hematopoietic system|nervous system|normal|skeleton|vision/eye
Rtn4ip1,
Rtn4r,behavior/neurological|cellular|homeostasis/metabolism|nervous system
Rtn4rl1,endocrine/exocrine gland|liver/biliary system|nervous system
Rtn4rl2,endocrine/exocrine gland|growth/size/body region|hearing/vestibular/ear|hematopoietic system|homeostasis/metabolism|nervous system|normal|renal/urinary system|reproductive system|vision/eye
Rtp1,nervous system|reproductive system
Rtp2,reproductive system
Rtp4,behavior/neurological|hematopoietic system|immune system|integument|liver/biliary system
Rtraf,behavior/neurological|hematopoietic system|immune system
Rttn,cardiovascular system|digestive/alimentary|embryo|growth/size/body region|hematopoietic system|homeostasis/metabolism|immune system|integument|liver/biliary system|nervous system|renal/urinary system|skeleton
Rtwq1,endocrine/exocrine gland|reproductive system
Rtwq2,endocrine/exocrine gland|reproductive system
Rubcn,hematopoietic system|immune system
Rubcnl,cellular|growth/size/body region|homeostasis/metabolism|liver/biliary system
Rubie,behavior/neurological|hearing/vestibular/ear
Rufy1,growth/size/body region
Rufy2,homeostasis/metabolism
Rufy3,digestive/alimentary|homeostasis/metabolism|nervous system
Rufy4,behavior/neurological
Rundc1,cardiovascular system|homeostasis/metabolism|liver/biliary system|muscle|neoplasm|nervous system|skeleton|vision/eye
Rundc3a,behavior/neurological|homeostasis/metabolism|nervous system|vision/eye
Rundc3b,behavior/neurological|vision/eye
Runx1,behavior/neurological|cardiovascular system|cellular|craniofacial|digestive/alimentary|embryo|endocrine/exocrine gland|growth/size/body region|hematopoietic system|homeostasis/metabolism|immune system|integument|liver/biliary system|neoplasm|nervous system|normal|respiratory system|skeleton
Runx1t1,behavior/neurological|cardiovascular system|digestive/alimentary|growth/size/body region|homeostasis/metabolism|integument|normal|reproductive system
Runx2,behavior/neurological|cardiovascular system|cellular|craniofacial|digestive/alimentary|endocrine/exocrine gland|growth/size/body region|hematopoietic system|homeostasis/metabolism|immune system|integument|limbs/digits/tail|liver/biliary system|nervous system|reproductive system|respiratory system|skeleton|vision/eye
Runx3,adipose tissue|behavior/neurological|cellular|craniofacial|digestive/alimentary|endocrine/exocrine gland|growth/size/body region|hematopoietic system|homeostasis/metabolism|immune system|integument|limbs/digits/tail|muscle|neoplasm|nervous system|respiratory system|skeleton
Rusc1,adipose tissue|growth/size/body region|hematopoietic system|skeleton|vision/eye
Rusc2,
Ruvbl1,cellular|embryo|growth/size/body region|hematopoietic system|immune system
Ruvbl2,embryo|endocrine/exocrine gland|hematopoietic system|immune system|integument|pigmentation|reproductive system
Rv2,neoplasm
Rv3,neoplasm
Rvil1,neoplasm
Rvm,cardiovascular system|vision/eye
Rw,integument|pigmentation
Rwdd1,adipose tissue|hematopoietic system|homeostasis/metabolism|immune system|skeleton|vision/eye
Rwdd2a,growth/size/body region|hematopoietic system|homeostasis/metabolism|immune system|skeleton
Rwdd3,behavior/neurological|cardiovascular system
Rxfp1,cellular|endocrine/exocrine gland|integument|reproductive system|respiratory system|skeleton
Rxfp2,behavior/neurological|cardiovascular system|cellular|endocrine/exocrine gland|growth/size/body region|hematopoietic system|homeostasis/metabolism|immune system|integument|liver/biliary system|nervous system|renal/urinary system|reproductive system|respiratory system|skeleton|vision/eye
Rxfp3,behavior/neurological|cardiovascular system|vision/eye
Rxfp4,adipose tissue|behavior/neurological|growth/size/body region|hematopoietic system|homeostasis/metabolism|immune system|renal/urinary system
Rxra,cardiovascular system|cellular|craniofacial|digestive/alimentary|embryo|endocrine/exocrine gland|growth/size/body region|hearing/vestibular/ear|hematopoietic system|homeostasis/metabolism|immune system|integument|limbs/digits/tail|liver/biliary system|muscle|neoplasm|nervous system|normal|pigmentation|renal/urinary system|reproductive system|respiratory system|skeleton|vision/eye
Rxrb,behavior/neurological|cardiovascular system|cellular|craniofacial|embryo|endocrine/exocrine gland|growth/size/body region|hearing/vestibular/ear|hematopoietic system|homeostasis/metabolism|immune system|integument|liver/biliary system|muscle|nervous system|normal|reproductive system|vision/eye
Rxrg,behavior/neurological|muscle|nervous system|normal
Rxylt1,behavior/neurological|cardiovascular system|hematopoietic system|immune system|integument|pigmentation|vision/eye
Rybp,embryo|growth/size/body region|nervous system|reproductive system|vision/eye
Ryk,behavior/neurological|cardiovascular system|craniofacial|digestive/alimentary|embryo|growth/size/body region|hematopoietic system|homeostasis/metabolism|immune system|integument|limbs/digits/tail|renal/urinary system|respiratory system|skeleton|vision/eye
Ryr1,adipose tissue|behavior/neurological|cardiovascular system|cellular|craniofacial|digestive/alimentary|embryo|growth/size/body region|hematopoietic system|homeostasis/metabolism|immune system|integument|limbs/digits/tail|muscle|respiratory system|skeleton|vision/eye
Ryr2,behavior/neurological|cardiovascular system|cellular|embryo|endocrine/exocrine gland|growth/size/body region|hematopoietic system|homeostasis/metabolism|immune system|muscle|neoplasm|nervous system|normal
Ryr3,behavior/neurological|muscle|nervous system
S100a1,behavior/neurological|cardiovascular system|cellular|endocrine/exocrine gland|hearing/vestibular/ear|homeostasis/metabolism|muscle|normal|reproductive system|respiratory system|vision/eye
S100a10,behavior/neurological|homeostasis/metabolism|nervous system
S100a11,reproductive system
S100a14,homeostasis/metabolism|vision/eye
S100a16,embryo|growth/size/body region|homeostasis/metabolism|liver/biliary system
S100a3,hematopoietic system|immune system|renal/urinary system|vision/eye
S100a4,cellular|endocrine/exocrine gland|hematopoietic system|immune system|integument|liver/biliary system|neoplasm|normal|respiratory system
S100a5,nervous system|normal|respiratory system|taste/olfaction
S100a6,behavior/neurological|homeostasis/metabolism
S100a8,embryo
S100a9,cellular|hematopoietic system|homeostasis/metabolism|immune system
S100b,behavior/neurological|homeostasis/metabolism|normal
S100g,homeostasis/metabolism|normal
S1pr1,cardiovascular system|cellular|embryo|hematopoietic system|homeostasis/metabolism|immune system|limbs/digits/tail|muscle|nervous system|normal|vision/eye
S1pr2,behavior/neurological|cardiovascular system|cellular|craniofacial|hearing/vestibular/ear|hematopoietic system|homeostasis/metabolism|immune system|integument|neoplasm|nervous system|pigmentation|reproductive system|respiratory system|skeleton
S1pr3,behavior/neurological|cardiovascular system|cellular|hearing/vestibular/ear|hematopoietic system|homeostasis/metabolism|immune system|integument|limbs/digits/tail|nervous system|normal|reproductive system|vision/eye
S1pr4,hematopoietic system|immune system|nervous system
S1pr5,cellular|hematopoietic system|immune system|nervous system
S2bpcox16,behavior/neurological|homeostasis/metabolism
Saa3,adipose tissue|growth/size/body region|homeostasis/metabolism|immune system|liver/biliary system
Sac3d1,cellular|endocrine/exocrine gland|growth/size/body region|hematopoietic system|immune system
Sacc,behavior/neurological
Sack1g,growth/size/body region|hematopoietic system|homeostasis/metabolism|integument
Sack1h,behavior/neurological|craniofacial|growth/size/body region|integument|skeleton
Sacm1l,behavior/neurological|embryo|endocrine/exocrine gland|reproductive system
Sacs,behavior/neurological|cellular|hematopoietic system|immune system|integument|limbs/digits/tail|muscle|nervous system|renal/urinary system|reproductive system|skeleton
Sae1,
Safb,behavior/neurological|cellular|endocrine/exocrine gland|growth/size/body region|hematopoietic system|homeostasis/metabolism|liver/biliary system|reproductive system|respiratory system|skeleton
Safb2,adipose tissue|behavior/neurological|endocrine/exocrine gland|integument|pigmentation|reproductive system|skeleton
Sag,adipose tissue|growth/size/body region|homeostasis/metabolism|nervous system|vision/eye
Sagg,integument
Sall1,behavior/neurological|cardiovascular system|cellular|digestive/alimentary|embryo|growth/size/body region|hearing/vestibular/ear|limbs/digits/tail|nervous system|normal|renal/urinary system|skeleton
Sall2,cellular|embryo|growth/size/body region|nervous system|normal|renal/urinary system
Sall3,behavior/neurological|cardiovascular system|craniofacial|digestive/alimentary|endocrine/exocrine gland|growth/size/body region|hematopoietic system|homeostasis/metabolism|immune system|integument|muscle|nervous system|reproductive system|respiratory system|skeleton
Sall4,behavior/neurological|cardiovascular system|cellular|craniofacial|digestive/alimentary|embryo|growth/size/body region|hearing/vestibular/ear|homeostasis/metabolism|immune system|limbs/digits/tail|muscle|nervous system|renal/urinary system|reproductive system|respiratory system|skeleton
Salpa1,homeostasis/metabolism
Salpa2,homeostasis/metabolism
Salpa3,homeostasis/metabolism
Samd1,adipose tissue|cardiovascular system|craniofacial|embryo|growth/size/body region|hematopoietic system|homeostasis/metabolism|integument|liver/biliary system|muscle|nervous system|respiratory system|skeleton
Samd11,behavior/neurological|integument|nervous system|normal|pigmentation|vision/eye
Samd3,hematopoietic system|homeostasis/metabolism|immune system
Samd4,adipose tissue|behavior/neurological|endocrine/exocrine gland|growth/size/body region|homeostasis/metabolism|integument|liver/biliary system|muscle|reproductive system|skeleton
Samd7,behavior/neurological|nervous system|vision/eye
Samd8,homeostasis/metabolism|liver/biliary system
Samd9l,behavior/neurological|growth/size/body region|hematopoietic system|homeostasis/metabolism|immune system|integument|neoplasm
Samhd1,cellular|immune system|normal
Samm50,behavior/neurological|craniofacial|growth/size/body region|skeleton
Samsn1,cellular|hematopoietic system|homeostasis/metabolism|immune system
Sap130,behavior/neurological|cardiovascular system|hematopoietic system|immune system|normal
Sap18,behavior/neurological
Sap30,hematopoietic system|homeostasis/metabolism
Sap30bp,hematopoietic system
Sapcd1,skeleton
Sapcd2,normal
Sar1b,digestive/alimentary|hematopoietic system|homeostasis/metabolism|integument|liver/biliary system
Saraf,adipose tissue|behavior/neurological|cellular|endocrine/exocrine gland|growth/size/body region|homeostasis/metabolism|liver/biliary system|nervous system
Sardh,behavior/neurological|growth/size/body region|nervous system
Sarm1,behavior/neurological|cellular|hematopoietic system|homeostasis/metabolism|immune system|nervous system
Sarnp,behavior/neurological|hematopoietic system|vision/eye
